Date,New Deaths per Million,Total Deaths per Million,CFR,Cumulative Estimated Daily Excess Deaths per Million,Estimated Daily Excess Deaths per Million,Cumulative Excess Deaths to Case Deaths,Cumulative Mean Excess Deaths to Case Deaths,Estimated Daily CFR,Estimated Cumulative CFR
2023-06-07,0.018905158781768745,1297.7676836736237,1.277776955303112,2678.209722326192,0.7166723896597611,2.0637050498475324,2.0637050498475324,48.43902527242243,2.636954755237837
2023-06-08,0.01694476172832769,1297.7846284353518,1.277772649898184,2678.8254276036387,0.6964788423027299,2.064152532638109,2.064152532638109,52.52016110910571,2.6375176514230443
2023-06-09,0.01635990462094298,1297.800988339973,1.2777664332119871,2679.4411328810847,0.6762852949456988,2.0646009341604663,2.0646009341604663,52.82027427288716,2.638077771648356
2023-06-10,0.01513122480919248,1297.816119564782,1.2777603779576174,2680.0568381585313,0.6560917475886676,2.0650512794195213,2.0650512794195213,55.403845355894184,2.638640703292949
2023-06-11,0.2865594532660891,1298.1026790180479,1.2778043167356894,2680.672543435977,0.6358982002316365,2.0650697258122728,2.0650697258122728,2.8355493284178346,2.6387550100031087
2023-06-12,0.04865443748707296,1298.1513334555352,1.2777686760830165,2669.682195140765,0.6258681731490537,2.056526174058895,2.056526174058895,16.436625070830168,2.627764726757306
2023-06-13,0.03907084841920823,1298.1904043039542,1.2777381412006368,2682.0365052505654,0.6346403919618724,2.0659808425317876,2.0659808425317876,20.75471272227467,2.6397825214926915
2023-06-14,0.008384280302260155,1298.1987885842566,1.2777325685726058,2682.784761787707,0.6535761310491394,2.066543880165997,2.066543880165997,99.60252741765392,2.640490420072499
2023-06-15,0.02158476601935104,1298.2203733502758,1.2777329056644482,2683.5330183248484,0.6725118701364065,2.0670858918964123,2.0670858918964123,39.81004682436014,2.64118366291079
2023-06-16,0.013585417029029444,1298.233958767305,1.2777315276614432,2684.281274861991,0.6914476092236733,2.0676406257395707,2.0676406257395707,65.03182111696528,2.6418896153810842
2023-06-17,0.5089727361974103,1298.7429315035024,1.277881647410315,2685.0295313991323,0.7103833483109404,2.067406463795558,2.067406463795558,1.7835647744407785,2.6419007778218013
2023-06-18,0.17359942471129672,1298.9165309282137,1.2778964343203745,2685.777787936274,0.7293190873982075,2.0677062182101884,2.0677062182101884,5.368648328287408,2.642314403472866
2023-06-19,0.037455200216829174,1298.9539861284304,1.2778888014163854,2674.977845732982,0.756519748056934,2.05933225833952,2.05933225833952,25.81078484418105,2.6315976313275873
2023-06-20,0.13938872433921934,1299.0933748527698,1.2779348542739133,2686.8751120151956,0.6912280188330677,2.0682694285310377,2.0682694285310377,6.337272844019697,2.6431135907490018
2023-06-21,0.007263417465638788,1299.1006382702353,1.2779312030570795,2687.224179556976,0.6342012111806611,2.0685265639889456,2.0685265639889456,111.58184430654669,2.6434346404739206
2023-06-22,0.004866521261532399,1299.1055047914967,1.2779217834882188,2687.5732470987564,0.5771744035282543,2.0687875135515688,2.0687875135515688,151.56283174407028,2.6437486289759784
2023-06-23,0.007961407979559191,1299.1134661994763,1.2778859480949696,2687.922314640537,0.5201475958758477,2.0690435320511193,2.0690435320511193,83.48891369613361,2.6440016556049093
2023-06-24,0.011592543408281088,1299.1250587428847,1.2778826707405677,2688.2713821823177,0.463120788223441,2.0692937635916735,2.0692937635916735,51.051267084985646,2.6443146411653284
2023-06-25,0.20053051786180467,1299.3255892607465,1.2778996661197064,2688.620449724098,0.4060939805710343,2.0692430534318906,2.0692430534318906,2.58787224866481,2.6442850071011352
2023-06-26,0.028854907664666047,1299.3544441684112,1.2778759796313992,2677.5281948768175,0.36433516466226684,2.0606603586063383,2.0606603586063383,16.13504229046888,2.633268374441665
2023-06-27,0.03609662938246732,1299.3905407977938,1.2778452267403813,2689.331290334775,0.35088258865816696,2.0696866768659032,2.0696866768659032,12.421482247340501,2.6447392408812567
2023-06-28,0.004820974831444929,1299.3953617726252,1.2778425677716723,2689.693063403671,0.35269800439770627,2.0699574144503736,2.0699574144503736,93.48576571025767,2.6450796976592774
2023-06-29,0.0031717792214058403,1299.3985335518464,1.2778357979554984,2690.054836472568,0.3545134201372456,2.0702307775578492,2.0702307775578492,142.8251802804297,2.645414997592666
2023-06-30,0.003204800275416849,1299.4017383521218,1.2778333507089783,2690.4166095414644,0.35632883587678504,2.0705040867140925,2.0705040867140925,142.07714402528163,2.6457591747825018
2023-07-01,0.008720662601822159,1299.4104590147238,1.2778105339394128,2690.778382610361,0.35814425161632435,2.0707686042873936,2.0707686042873936,52.47772082015466,2.646049935909447
2023-07-02,0.16660186217496806,1299.577060876899,1.277840594196895,2691.140155679257,0.35995966735586366,2.070781515536594,2.070781515536594,2.7608999636382467,2.646128682265228
2023-07-03,0.08441440936083112,1299.6614752862597,1.277815606696087,2680.0428616083586,0.3592401735239455,2.0621084125141587,2.0621084125141587,5.437966145316738,2.634994312209885
2023-07-04,0.047888764167006846,1299.7093640504265,1.277796961047502,2692.121486162059,0.39860113947457565,2.0713257599162835,2.0713257599162835,10.635716614328295,2.6467337613604345
2023-07-05,0.003379263608883795,1299.7127433140354,1.2777986228534441,2692.741043575965,0.43542719585374823,2.0717970624108495,2.0717970624108495,164.64778591174692,2.6473394331803943
2023-07-06,0.0638161738098391,1299.7765594878454,1.2777973366142528,2693.3606009898704,0.4722532522329209,2.072172006280174,2.072172006280174,9.4559719250609,2.647815870631419
2023-07-07,0.005304779358669451,1299.7818642672041,1.2777980422349222,2693.9801584037755,0.5090793086120935,2.0726402117655316,2.0726402117655316,122.625372311432,2.6484156048513707
2023-07-08,0.007340943786557597,1299.7892052109903,1.2777949193465756,2694.5997158176806,0.5459053649912661,2.073105165833621,2.073105165833621,95.02253689875803,2.6490032481733414
2023-07-09,0.05940337755523939,1299.8486085885456,1.2777994207696317,2695.219273231586,0.5827314213704388,2.073487062588172,2.073487062588172,12.534874334359053,2.6495005675484915
2023-07-10,0.037294325239886524,1299.8859029137857,1.2777818559239147,2684.3359964856736,0.6133050674263637,2.0650550871184508,2.0650550871184508,21.013118812656796,2.6386899218033353
2023-07-11,0.0375881226780469,1299.9234910364637,1.2777669218149887,2696.4231579744023,0.6145245059456623,2.0742937384910802,2.0742937384910802,20.890085228988248,2.6504639251718527
2023-07-12,0.006970049246954299,1299.9304610857107,1.277766761798926,2697.007485303314,0.6094915341417131,2.0747321230173768,2.0747321230173768,111.73350378613509,2.651023746428124
2023-07-13,0.004006090841296205,1299.9344671765518,1.2777629440224074,2697.591812632225,0.604458562337764,2.07517523440345,2.07517523440345,192.79511692309782,2.651582016873742
2023-07-14,0.0021062527418338585,1299.9365734292937,1.277759291293787,2698.1761399611364,0.5994255905338148,2.07562137654395,2.07562137654395,363.64183772028196,2.6521444990870324
2023-07-15,0.007685415346381267,1299.94425884464,1.2777604417072486,2698.7604672900475,0.5943926187298657,2.076058607073385,2.076058607073385,98.82242414047452,2.6527055627842238
2023-07-16,0.0715384558124994,1300.0157973004527,1.2777696748062917,2699.344794618959,0.5893596469259167,2.0763938409243043,2.0763938409243043,10.526728258857688,2.6531530828876355
2023-07-17,0.025729142650064873,1300.0273768796535,1.2777520326596792,2688.3863520163754,0.5786215285647461,2.067945952391467,2.067945952391467,28.735307830492005,2.642322144098553
2023-07-18,0.0451639566645451,1300.0725408363178,1.277738524092752,2700.394803487465,0.5673773940920323,2.077110867790762,2.077110867790762,16.051736997167428,2.6540045745879834
2023-07-19,0.0038418679420005025,1300.07638270426,1.2777341269404978,2700.860485027061,0.5504281130620968,2.0774629252237173,2.0774629252237173,183.06219659405772,2.654445277011979
2023-07-20,0.006273819114304594,1300.0826565233745,1.2777311482571094,2701.326166566656,0.5334788320321614,2.0778110937887804,2.0778110937887804,108.64873663143062,2.654883954728099
2023-07-21,0.004743228737092511,1300.0873997521112,1.277731160862055,2701.791848106251,0.516529551002226,2.078161705606411,2.078161705606411,139.1427526276513,2.6553319685635475
2023-07-22,0.0031057240105724945,1300.090505476122,1.2777305183411165,2702.2575296458463,0.4995802699722906,2.078514932817096,2.078514932817096,205.53305932262256,2.655781962488139
2023-07-23,0.046109976602683345,1300.1366154527245,1.2777306244256244,2702.7232111854423,0.4826309889423553,2.0787993962036975,2.0787993962036975,13.373947251853199,2.656145650566961
2023-07-24,0.050921357843052475,1300.1875368105677,1.277720143365716,2691.618161648512,0.4616872724671757,2.070176867139644,2.070176867139644,11.584670027556442,2.645106683474055
2023-07-25,0.041475196418290866,1300.229012006986,1.2777105425935968,2703.599559117693,0.45782212530660676,2.079325668133274,2.079325668133274,14.10395143731941,2.6567763276593586
2023-07-26,0.00510685147479345,1300.2341188584608,1.277706737791201,2704.010225510348,0.4499625427007937,2.0796333416356827,2.0796333416356827,112.57820506434803,2.6571615327431424
2023-07-27,0.0038257605283283677,1300.237944618989,1.2777055704626432,2704.4208919030034,0.44210296009498057,2.07994306203353,2.07994306203353,147.65101230165038,2.6575548366053683
2023-07-28,0.007941619381918112,1300.245886238371,1.2777076299945718,2704.8315582956584,0.4342433774891674,2.0802461956797824,2.0802461956797824,69.86435007900299,2.657946436487239
2023-07-29,0.002118791186273661,1300.2480050295571,1.2777062149048533,2705.242224688314,0.4263837948833543,2.080558642831233,2.080558642831233,257.124547329891,2.6583427084194735
2023-07-30,0.0765333795910796,1300.3245384091483,1.277715288614042,2705.652891080969,0.4185242122775413,2.0807520054886735,2.0807520054886735,6.9872098624074335,2.6586086492272067
2023-07-31,0.05932967325784983,1300.383868082406,1.277717736794733,2694.4649224671034,0.4066783845540226,2.0720534825154826,2.0720534825154826,8.758183832521842,2.6474994861973276
2023-08-01,0.03581831033926138,1300.4196863927455,1.2777017294765234,2706.5825182828753,0.42613593942839845,2.0813146298874536,2.0813146298874536,15.20101371735994,2.6592993021919895
2023-08-02,0.016038472355305346,1300.4357248651008,1.2777048187993956,2707.1014790921263,0.4416072491850687,2.0816880275824046,2.0816880275824046,35.180639265426194,2.6597828240790475
2023-08-03,0.006335095806879309,1300.4420599609077,1.2777064466271115,2707.620439901377,0.45707855894173904,2.0820769515735056,2.0820769515735056,92.18680177507477,2.6602831433991927
2023-08-04,0.005026114805488233,1300.4470860757133,1.2777043190752497,2708.139400710628,0.4725498686984093,2.0824679679069673,2.0824679679069673,120.12837580930449,2.6607783169305907
2023-08-05,0.005608640482950014,1300.452694716196,1.2777000152378615,2708.6583615198783,0.48802117845507964,2.0828580482206633,2.0828580482206633,111.17572414277558,2.661267759949844
2023-08-06,0.06254779196552873,1300.5152425081617,1.2776935112027485,2709.1773223291293,0.50349248821175,2.0831569164112484,2.0831569164112484,10.285080654518053,2.661636074915779
2023-08-07,0.03371960530128738,1300.5489621134627,1.2776875795535392,2698.02543239668,0.5086471557877721,2.0745281500300012,2.0745281500300012,19.27342113047979,2.6505988507275138
2023-08-08,0.0666725887953464,1300.6012919012342,1.2773585148409599,2710.529474803795,0.5638533492342612,2.0840587285912284,2.0840587285912284,10.802683528260543,2.6620901623946303
2023-08-09,0.008751479536373398,1300.6100433807703,1.277715714815434,2711.3626664692097,0.6087429005001023,2.0846853215290935,2.0846853215290935,88.8764427795975,2.663635195762789
2023-08-10,0.035633944650906725,1300.645677325421,1.2777235609313802,2712.1958581346253,0.6536324517659431,2.08526880565339,2.08526880565339,23.43724760175936,2.6643970838585758
2023-08-11,0.013740218179461508,1300.6594175436005,1.2777229242554131,2713.0290498000404,0.6985220030317842,2.0858873685194337,2.0858873685194337,64.95657963456723,2.6651861081720796
2023-08-12,0.011379922543082092,1300.6707974661438,1.2777224085160304,2713.862241465456,0.7434115542976251,2.0865097046480723,2.0865097046480723,83.46925017106024,2.665980205215006
2023-08-13,0.06300925707836406,1300.7338067232222,1.2777225519341198,2714.6954331308707,0.7883011055634661,2.0870491864662664,2.0870491864662664,15.985430506510442,2.6666698125437067
2023-08-14,0.03964290986322811,1300.7734496330854,1.278147887371699,2703.753835289524,0.8183424108686335,2.0785739715491447,2.0785739715491447,26.384607668989975,2.6567249304813414
2023-08-15,0.045179655677997387,1300.8186292887633,1.2781264229128275,2716.408323376021,0.8398345612660404,2.088229874799108,2.088229874799108,23.758807532308925,2.6690217800966853
2023-08-16,0.008502072534632152,1300.827131361298,1.2781232350261678,2717.288021955756,0.846478465702774,2.0888924872839567,2.0888924872839567,127.25177191290874,2.669862023469229
2023-08-17,0.009990965586096886,1300.8371223268841,1.2781230836131214,2718.1677205354913,0.8531223701395073,2.0895526994750457,2.0895526994750457,109.13813935455867,2.6707055396251675
2023-08-18,0.011060197603247553,1300.8481825244874,1.2781212222577032,2719.0474191152257,0.8597662745762407,2.09021118347455,2.09021118347455,99.35496282586092,2.6715432725992114
2023-08-19,0.011195205268585503,1300.8593777297558,1.2781231354292568,2719.927117694961,0.866410179012974,2.090869439279244,2.090869439279244,98.91546139625197,2.6723886035047997
2023-08-20,0.07323534802518394,1300.932613077781,1.278113781376477,2720.806816274696,0.8730540834497074,2.0914279409428738,2.0914279409428738,15.236664889751879,2.6730828740749155
2023-08-21,0.04186503862102866,1300.974478116402,1.2781154416573723,2709.803092273382,0.8641789631124431,2.0829025763800786,2.0829025763800786,26.38288446614913,2.662189946339303
2023-08-22,0.2035834821955875,1301.1780615985979,1.27812688325739,2722.279876713969,0.838792824509366,2.0921655206585927,2.0921655206585927,5.266064058472301,2.6740529961779416
2023-08-23,0.0125959010645992,1301.1906574996622,1.278124537961833,2722.873238573506,0.7978876611322911,2.0926012824329034,2.0926012824329034,80.96283013021642,2.674605047247894
2023-08-24,0.007710102029002541,1301.1983676016912,1.278120640254057,2723.466600433044,0.7569824977552163,2.093044894801714,2.093044894801714,125.48666036487978,2.675163881024452
2023-08-25,0.013044126788327427,1301.2114117284796,1.2781186835016973,2724.0599622925815,0.7160773343781416,2.093479920126157,2.093479920126157,70.16428426008498,2.675715799448882
2023-08-26,0.015295328368719704,1301.2267070568485,1.278121706175926,2724.6533241521192,0.6751721710010667,2.0939113141282024,2.0939113141282024,56.41933186130223,2.6762735013946135
2023-08-27,0.08627277101481658,1301.3129798278633,1.2781079819832502,2725.246686011657,0.6342670076239919,2.0942284663695205,2.0942284663695205,9.396495738077443,2.676650118963425
2023-08-28,0.030293056144729366,1301.343272884008,1.2780848300069276,2713.8769254203025,0.581976084398635,2.085442774377178,2.085442774377178,24.553970432796422,2.6653727737790307
2023-08-29,0.05766419342499569,1301.400937077433,1.2780853556773235,2726.4399275264673,0.5942931044471566,2.0950038146193872,2.0950038146193872,13.172079043503619,2.677593695553169
2023-08-30,0.016027896482274186,1301.4169649739154,1.2780825638110802,2727.039807181741,0.5952243646473958,2.0954389565963583,2.0954389565963583,47.463862949994756,2.6781439939562888
2023-08-31,0.011962476961833349,1301.428927450877,1.2780804097806502,2727.639686837014,0.5961556248476351,2.095880634972262,2.095880634972262,63.6937339757712,2.678703980796678
2023-09-01,0.011029341992976031,1301.43995679287,1.2780789736568763,2728.2395664922865,0.5970868850478743,2.0963238082957507,2.0963238082957507,69.19036454867022,2.6792673813591072
2023-09-02,0.011845629053960026,1301.451802421924,1.278075107028938,2728.8394461475596,0.5980181452481136,2.096765658988948,2.096765658988948,64.52271141630239,2.6798239940269015
2023-09-03,0.07659602581853656,1301.5283984477423,1.2780533092159043,2729.439325802833,0.5989494054483528,2.0971031665986524,2.0971031665986524,9.993851006051989,2.6802096418385593
2023-09-04,0.055439617156836034,1301.5838380648993,1.2780504808544868,2718.1453496217728,0.6097758154087036,2.0883367403078044,2.0883367403078044,14.057172723467033,2.6689997751364807
2023-09-05,0.09391074078718023,1301.6777488056866,1.2780556020230656,2730.6041190258716,0.5948849517816778,2.0977573915903927,2.0977573915903927,8.095943433209321,2.681050586007395
2023-09-06,0.0067943951765066955,1301.6845432008631,1.2780525279330541,2731.1690325936374,0.5898892379147632,2.098180428475896,2.098180428475896,110.96049201322504,2.681584800673277
2023-09-07,0.01415978132686292,1301.6987029821898,1.2780510425806328,2731.7339461614033,0.5848935240478487,2.0985915864423963,2.0985915864423963,52.792042543048666,2.6821071650036488
2023-09-08,0.015950408196422912,1301.7146533903863,1.2780512046107664,2732.2988597291687,0.5798978101809342,2.098999848094779,2.098999848094779,46.4652117817962,2.682629284335348
2023-09-09,0.008802732428081312,1301.7234561228145,1.278045285021627,2732.863773296934,0.5749020963140197,2.0994196274504984,2.0994196274504984,83.46850475646369,2.68315335614497
2023-09-10,0.09126376806375112,1301.814719890878,1.2780215924232274,2733.4286868647,0.5699063824471052,2.099706390701915,2.099706390701915,7.980742827958068,2.683470105066089
2023-09-11,0.05064718295014035,1301.8653670738283,1.2780177867925622,2722.172649279237,0.5753257202363433,2.090978620468105,2.090978620468105,14.517618963825328,2.6723078687612123
2023-09-12,0.08365064256521496,1301.9490177163934,1.2780064940236275,2734.4984671512966,0.5563333110931694,2.1003114791296373,2.1003114791296373,8.499606967925393,2.684211709800047
2023-09-13,0.007485499599312484,1301.956503215993,1.278003349127175,2735.003333870127,0.5477559536061481,2.1006871789605346,2.1006871789605346,93.51866684720716,2.6846852501800806
2023-09-14,0.014660515907646684,1301.9711637319006,1.278002334044652,2735.5082005889576,0.5391785961191269,2.101051295750701,2.101051295750701,47.00185918748975,2.6851484599169364
2023-09-15,0.012288006457731754,1301.983451738358,1.2779981847487971,2736.013067307788,0.5306012386321056,2.101419233596839,2.101419233596839,55.18449409428991,2.685609965932969
2023-09-16,0.013234751779161008,1301.9966864901373,1.27799643751492,2736.5179340266186,0.5220238811450844,2.101785636185909,2.101785636185909,50.40855102787747,2.686074555465621
2023-09-17,0.1066321868314086,1302.1033186769687,1.2779509367525177,2737.022800745449,0.5134465236580631,2.1020012478936483,2.1020012478936483,6.153484096866268,2.686254463800649
2023-09-18,0.06384209481185174,1302.1671607717806,1.2779541851614875,2725.785683783201,0.5161502010350186,2.0932686416140744,2.0932686416140744,10.331996647800992,2.675101421218008
2023-09-19,0.08774304420769134,1302.2549038159882,1.2776124156660131,2738.0430855718846,0.50637589382634,2.102540046152728,2.102540046152728,7.373258299713705,2.6862312673997177
2023-09-20,0.013525303134940523,1302.268429119123,1.2776100666103127,2738.55850367949,0.5078826214816381,2.10291399410788,2.10291399410788,47.974965395422856,2.686704088087928
2023-09-21,0.018938123572212733,1302.2873672426954,1.2776085109773319,2739.0739217870946,0.5093893491369362,2.103279192200471,2.103279192200471,34.36455387868787,2.6871673969168492
2023-09-22,0.013111677163217624,1302.3004789198587,1.2776049823022997,2739.5893398947005,0.5108960767922344,2.1036537913024063,2.1036537913024063,49.781836833166636,2.687638564807077
2023-09-23,0.012428977454042658,1302.3129078973127,1.2776015587864369,2740.104758002305,0.5124028044475325,2.1040294858371795,2.1040294858371795,52.67099599378375,2.688111350838206
2023-09-24,0.11864897438018263,1302.431556871693,1.2775578935665215,2740.6201761099105,0.5139095321028306,2.104233548127933,2.104233548127933,5.5335428118686645,2.68828017931833
2023-09-25,0.05696182169666612,1302.4885186933896,1.2775603575648493,2729.474882862459,0.5270267662518351,2.0955846010839094,2.0955846010839094,11.820347100632638,2.6772358122681514
2023-09-26,0.22114039009528735,1302.709659083485,1.2776334770511704,2741.6614350554005,0.5169057502786104,2.1045836391389647,2.1045836391389647,2.9864109887462793,2.688886512618121
2023-09-27,0.015428087434692353,1302.7250871709196,1.2776340428726198,2742.1872758932855,0.518395240799092,2.1049623615128144,2.1049623615128144,42.92945642884713,2.6893715720343137
2023-09-28,0.024044103370620556,1302.74913127429,1.2776341579242028,2742.7131167311704,0.5198847313195738,2.1053271507833387,2.1053271507833387,27.625171988269948,2.6898378814460315
2023-09-29,0.020140610236577365,1302.7692718845267,1.2776345675333838,2743.238957569055,0.5213742218400554,2.1056982358824063,2.1056982358824063,33.07376095456743,2.6903128549574276
2023-09-30,0.30470960690151655,1303.0739814914284,1.2786745030431808,2743.76479840694,0.5228637123605371,2.1056093801110003,2.1056093801110003,2.1941300255032914,2.6923890277164935
2023-10-01,0.11277407072523894,1303.1867555621534,1.2786151708883895,2744.290639244825,0.5243532028810187,2.1058306704943646,2.1058306704943646,5.94503644140906,2.6925470426161637
2023-10-02,0.08886884923170825,1303.2756244113853,1.2780779253217174,2733.1266844774095,0.521687480408078,2.097121002866762,2.097121002866762,7.502710549203022,2.6802840604925504
2023-10-03,0.09303337386519865,1303.3686577852502,1.2780831510456765,2745.4392567719315,0.5396902119543706,2.1064180424877796,2.1064180424877796,7.414209955263973,2.6921774091622472
