country,date,daily_vaccinations,people_vaccinated,people_fully_vaccinated,people_unvaccinated,new_people_vaccinated,new_people_fully_vaccinated,daily_occupancy_icu
Lebanon,2021-07-08,38551.0,993893.0,524368.0,4724739.668493151,17122.0,21429.0,
Lebanon,2021-07-09,15998.0,1003157.0,531102.0,4715547.906849315,9264.0,6734.0,
Lebanon,2021-07-10,2358.0,1004731.0,531886.0,4714046.145205479,1574.0,784.0,
Lebanon,2021-07-11,5226.0,1007250.0,534593.0,4711599.383561644,2519.0,2707.0,
Lebanon,2021-07-12,23750.0,1017413.0,548180.0,4701508.621917808,10163.0,13587.0,
Lebanon,2021-07-13,68917.0,1035976.0,598534.0,4683017.860273972,18563.0,50354.0,
Lebanon,2021-07-14,32432.0,1043698.0,623244.0,4675368.098630137,7722.0,24710.0,
Lebanon,2021-07-15,29291.0,1049566.0,646667.0,4669572.3369863015,5868.0,23423.0,
Lebanon,2021-07-16,2029.0,1049953.0,648309.0,4669257.575342466,387.0,1642.0,
Lebanon,2021-07-17,1782.0,1050264.0,649780.0,4669018.81369863,311.0,1471.0,
Lebanon,2021-07-18,861.0,1050411.0,650494.0,4668944.0520547945,147.0,714.0,
Lebanon,2021-07-19,25252.0,1059349.0,666808.0,4660078.290410959,8938.0,16314.0,
Lebanon,2021-07-20,2298.0,1059942.0,668513.0,4659557.528767123,593.0,1705.0,
Lebanon,2021-07-21,19064.0,1062845.0,684674.0,4656726.767123288,2903.0,16161.0,
Lebanon,2021-07-22,34063.0,1070745.0,710837.0,4648899.005479452,7900.0,26163.0,
Lebanon,2021-07-23,785.0,1071033.0,711334.0,4648683.243835617,288.0,497.0,
Lebanon,2021-07-24,4139.0,1072498.0,714008.0,4647290.482191781,1465.0,2674.0,
Lebanon,2021-07-25,20627.0,1077758.0,729375.0,4642102.720547945,5260.0,15367.0,
Lebanon,2021-07-26,31018.0,1084513.0,753638.0,4635419.95890411,6755.0,24263.0,
Lebanon,2021-07-27,34965.0,1092004.0,781112.0,4628001.197260274,7491.0,27474.0,
Lebanon,2021-07-28,27794.0,1098232.0,802678.0,4621845.435616438,6228.0,21566.0,
Lebanon,2021-07-29,26501.0,1105750.0,821661.0,4614399.673972603,7518.0,18983.0,
Lebanon,2021-07-30,17516.0,1112396.0,832531.0,4607825.912328767,6646.0,10870.0,
Lebanon,2021-07-31,1964.0,1113441.0,833450.0,4606853.150684931,1045.0,919.0,
Lebanon,2021-08-01,2367.0,1114578.0,834680.0,4605788.389041096,1137.0,1230.0,
Lebanon,2021-08-02,32898.0,1127622.0,854534.0,4592816.627397261,13044.0,19854.0,
Lebanon,2021-08-03,34794.0,1140969.0,875981.0,4579541.865753424,13347.0,21447.0,
Lebanon,2021-08-04,9640.0,1144668.0,881922.0,4575915.104109589,3699.0,5941.0,
Lebanon,2021-08-05,26199.0,1154170.0,898619.0,4566485.342465754,9502.0,16697.0,
Lebanon,2021-08-06,24561.0,1163468.0,913882.0,4557259.580821917,9298.0,15263.0,
Lebanon,2021-08-07,5139.0,1166408.0,916081.0,4554391.819178082,2940.0,2199.0,
Lebanon,2021-08-08,2613.0,1167764.0,917338.0,4553108.057534247,1356.0,1257.0,
Lebanon,2021-08-09,17427.0,1177369.0,925160.0,4543575.295890411,9605.0,7822.0,
Lebanon,2021-08-10,37893.0,1195843.0,944579.0,4525173.534246575,18474.0,19419.0,
Lebanon,2021-08-11,25215.0,1207245.0,958392.0,4513843.77260274,11402.0,13813.0,
Lebanon,2021-08-12,11854.0,1212455.0,965036.0,4508706.010958904,5210.0,6644.0,
Lebanon,2021-08-13,13367.0,1219190.0,971668.0,4502043.249315068,6735.0,6632.0,
Lebanon,2021-08-14,1261.0,1220046.0,972073.0,4501259.487671233,856.0,405.0,
Lebanon,2021-08-15,11563.0,1225483.0,978199.0,4495894.726027397,5437.0,6126.0,
Lebanon,2021-08-16,17974.0,1234040.0,987616.0,4487409.964383562,8557.0,9417.0,
Lebanon,2021-08-17,22108.0,1246189.0,997575.0,4475333.202739726,12149.0,9959.0,
Lebanon,2021-08-18,14196.0,1254059.0,1003901.0,4467535.4410958905,7870.0,6326.0,
Lebanon,2021-08-19,17169.0,1262162.0,1012967.0,4459504.679452055,8103.0,9066.0,
Lebanon,2021-08-20,11493.0,1267899.0,1018723.0,4453839.917808219,5737.0,5756.0,
Lebanon,2021-08-24,28530.0,1302092.0,1045662.0,4419935.871232877,16684.0,11846.0,
Lebanon,2021-08-25,13948.0,1311269.0,1050433.0,4410831.109589041,9177.0,4771.0,
Lebanon,2021-08-26,24094.0,1325693.0,1060103.0,4396479.347945206,14424.0,9670.0,
Lebanon,2021-08-27,14041.0,1334413.0,1065424.0,4387831.58630137,8720.0,5321.0,
Lebanon,2021-08-28,1228.0,1335375.0,1065690.0,4386941.824657534,962.0,266.0,
Lebanon,2021-08-29,21446.0,1346202.0,1076309.0,4376187.063013699,10827.0,10619.0,
Lebanon,2021-08-30,13070.0,1353031.0,1082550.0,4369430.301369863,6829.0,6241.0,
Lebanon,2021-08-31,22349.0,1367317.0,1090613.0,4355216.539726027,14286.0,8063.0,
Lebanon,2021-09-01,18089.0,1376615.0,1099404.0,4345990.778082192,9298.0,8791.0,
Lebanon,2021-09-02,18547.0,1386363.0,1108203.0,4336315.016438357,9748.0,8799.0,
Lebanon,2021-09-03,2640.0,1388124.0,1109082.0,4334626.25479452,1761.0,879.0,
Lebanon,2021-09-04,2372.0,1389689.0,1109889.0,4333133.493150685,1565.0,807.0,
Lebanon,2021-09-05,5769.0,1393246.0,1112101.0,4329648.73150685,3557.0,2212.0,
Lebanon,2021-09-06,30097.0,1407930.0,1127514.0,4315036.969863013,14684.0,15413.0,
Lebanon,2021-09-07,9371.0,1412410.0,1132405.0,4310629.208219178,4480.0,4891.0,
Lebanon,2021-09-08,26367.0,1426561.0,1144621.0,4296550.446575343,14151.0,12216.0,
Lebanon,2021-09-09,13358.0,1433885.0,1150655.0,4289298.684931506,7324.0,6034.0,
Lebanon,2021-09-10,14115.0,1441739.0,1156916.0,4281516.923287671,7854.0,6261.0,
Lebanon,2021-09-11,1895.0,1443056.0,1157494.0,4280272.161643836,1317.0,578.0,
Lebanon,2021-09-12,22127.0,1455792.0,1166885.0,4267608.4,12736.0,9391.0,
Lebanon,2021-09-13,6245.0,1458845.0,1170077.0,4264627.638356164,3053.0,3192.0,
Lebanon,2021-09-14,8305.0,1463082.0,1174145.0,4260462.876712329,4237.0,4068.0,
Lebanon,2021-09-15,46600.0,1488940.0,1194887.0,4234677.115068493,25858.0,20742.0,
Lebanon,2021-09-16,6519.0,1492383.0,1197963.0,4231306.353424657,3443.0,3076.0,
Lebanon,2021-09-17,14077.0,1499846.0,1204577.0,4223915.591780822,7463.0,6614.0,
Lebanon,2021-09-18,1530.0,1500527.0,1205426.0,4223306.830136986,681.0,849.0,
Lebanon,2021-09-19,11211.0,1506291.0,1210873.0,4217615.068493151,5764.0,5447.0,
Lebanon,2021-09-20,22463.0,1516847.0,1222780.0,4207131.306849315,10556.0,11907.0,
Lebanon,2021-09-21,30008.0,1530587.0,1239048.0,4193463.54520548,13740.0,16268.0,
Lebanon,2021-09-22,9394.0,1535076.0,1243953.0,4189046.783561644,4489.0,4905.0,
Lebanon,2021-09-23,27562.0,1548877.0,1257714.0,4175318.021917808,13801.0,13761.0,
Lebanon,2021-09-24,2444.0,1550115.0,1258920.0,4174152.260273973,1238.0,1206.0,
Lebanon,2021-09-25,988.0,1550755.0,1259268.0,4173584.498630137,640.0,348.0,
Lebanon,2021-09-26,6299.0,1553625.0,1262697.0,4170786.736986301,2870.0,3429.0,
Lebanon,2021-09-27,17481.0,1564226.0,1269577.0,4160257.9753424656,10601.0,6880.0,
Lebanon,2021-09-28,38681.0,1586647.0,1285837.0,4137909.21369863,22421.0,16260.0,
Lebanon,2021-09-29,21305.0,1598253.0,1295536.0,4126375.452054795,11606.0,9699.0,
Lebanon,2021-09-30,20536.0,1609654.0,1304671.0,4115046.690410959,11401.0,9135.0,
Lebanon,2021-10-01,9712.0,1615320.0,1308717.0,4109452.9287671233,5666.0,4046.0,
Lebanon,2021-10-02,1145.0,1616092.0,1309090.0,4108753.167123288,772.0,373.0,
Lebanon,2021-10-03,9552.0,1620958.0,1313776.0,4103959.405479452,4866.0,4686.0,
Lebanon,2021-10-04,19180.0,1630985.0,1322929.0,4094004.643835616,10027.0,9153.0,
Lebanon,2021-10-05,10356.0,1636549.0,1327721.0,4088512.882191781,5564.0,4792.0,
Lebanon,2021-10-06,4836.0,1638475.0,1330631.0,4086659.1205479456,1926.0,2910.0,
Lebanon,2021-10-07,35919.0,1654653.0,1350372.0,4070553.358904109,16178.0,19741.0,
Lebanon,2021-10-08,13996.0,1660463.0,1358558.0,4064815.597260274,5810.0,8186.0,
Lebanon,2021-10-09,1534.0,1661293.0,1359262.0,4064057.835616439,830.0,704.0,
Lebanon,2021-10-10,5566.0,1663481.0,1362640.0,4061942.0739726014,2188.0,3378.0,
Lebanon,2021-10-11,2366.0,1664450.0,1364037.0,4061045.312328767,969.0,1397.0,
Lebanon,2021-10-12,6476.0,1666521.0,1368442.0,4059046.550684932,2071.0,4405.0,
Lebanon,2021-10-13,46720.0,1685481.0,1396202.0,4040158.789041096,18960.0,27760.0,
